ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-45.32606887817383,-40.809612,45164.562,6.9145565,0.06503978,53.266765435063114,198.23618,0.8613504,-62.1820182800293,-54.29474,78872.805,7317,205400
-45.05771255493164,-41.58014,34775.727,12.948985,0.60029036,8.194251207475414,165.78812,0.6486256,-59.82076644897461,-51.95511,78656.586,7371,207000
50.27964401245117,53.66428,33846.36,0.0075728307,0.0010600355,43.38498564344958,148.00345,0.66530395,-58.601898193359375,-50.762947,78389.53,7686,215800
-44.46148681640625,-40.74686,37146.28,5.2599797,0.13775963,83.14278042145176,152.31833,0.57993364,-58.803749084472656,-50.997158,78065.914,7733,217000
43.34709930419922,46.562637,32155.39,0.010324951,0.0012782163,14.462945521785079,148.9949,0.6340245,-58.575313568115234,-50.80887,77664.445,7806,219600
-50.77616500854492,-44.94612,58300.438,64.32615,0.43685907,41.27560191501696,95.093094,0.45672438,-54.760589599609375,-47.04149,77191.03,7908,222300
4.433864593505859,6.506584,20727.2,0.5836625,0.04323813,50.760216658180205,91.99579,0.4825586,-54.51200485229492,-46.849384,76626.2,7932,223100
54.37388610839844,57.671837,32979.51,0.006506717,0.0006726594,68.34189776752856,69.20166,0.29677248,-52.77975082397461,-45.18124,75985.11,7987,225300
57.31996536254883,60.910076,35901.113,0.0099475235,0.00051364175,70.19496315657084,65.887115,0.33887494,-52.51063919067383,-44.985443,75251.98,7991,225500
58.37973403930664,61.99967,36199.35,0.0059339753,0.00038637233,83.7397010685438,48.844116,0.23483455,-51.203887939453125,-43.761784,74421.05,8034,226800
-47.66347885131836,-42.27623,53872.492,27.148354,0.20904401,75.15733477454467,44.053493,0.21958953,-50.7784538269043,-43.427296,73511.59,8124,229300
49.336647033691406,52.823166,34865.195,0.008714557,0.0010096813,62.38397897821504,61.622566,0.23126829,-51.88484573364258,-44.624058,72607.89,8156,230600
50.53432083129883,54.19084,36565.215,0.02242557,0.0011099419,59.68014726030271,54.56136,0.27244908,-51.34251022338867,-44.174107,71684.04,8188,231600
55.369163513183594,59.068096,36989.33,0.017440308,0.0005411614,33.87623670073557,30.441208,0.16033532,-49.53559112548828,-42.466087,70695.03,8210,232300
-47.74860382080078,-42.324112,54244.938,27.999855,0.19465296,25.32929725907332,33.448635,0.33270875,-49.74742126464844,-42.78624,69611.836,8244,233200
-45.93757629394531,-41.916332,40212.426,22.809723,0.111048535,13.90692873727131,25.893478,0.21148199,-49.0384407043457,-42.192963,68454.8,8403,237700
-53.30326843261719,-47.652252,56510.18,103.84943,0.48368227,41.18849724645846,26.224808,0.21684468,-48.94036102294922,-42.219013,67213.484,8406,237800
-59.7723388671875,-54.237976,55343.617,195.39253,1.0618238,3.779773484979726,662.4012,1.0608394,-92.46949005126953,-85.83868,66308.14,8562,242000
53.26875305175781,56.851295,35825.406,0.011152985,0.0010967795,13.731935566966854,2663.583,27.816029,-245.91677856445312,-239.35855,65582.25,8635,244100
-46.15455627441406,-41.696472,44580.84,18.927128,0.17439549,26.342038121907898,333.67816,2.1358504,-70.8315658569336,-64.322205,65093.594,8713,246400
42.390533447265625,45.59725,32067.172,14.130259,0.019475572,7.116519475629526,207.62459,0.7610253,-61.3270149230957,-54.862144,64648.703,9003,256500
-78.53829956054688,-73.2303,53079.977,459.3946,2.7286901,89.8191396758293,221.32498,0.79396343,-62.23114776611328,-55.8115,64196.453,9579,273700
55.34787368774414,58.81868,34708.062,0.013984149,0.000849476,15.5317078445803,699.50525,2.4308805,-95.66465759277344,-89.2765,63881.64,10020,287600
-45.88944625854492,-41.166565,47228.82,10.491964,0.23480687,19.53759546263385,629.0947,1.8940251,-90.51899719238281,-84.148705,63702.96,10070,288900
12.581547737121582,15.351345,27697.977,0.22837856,0.012512624,44.57208593992162,404.3059,1.2859287,-74.88323974609375,-68.52629,63569.484,10163,291300
57.98527145385742,62.24958,42643.074,0.039532192,0.0004529346,20.666147720976497,259.22534,0.64487624,-64.61420440673828,-58.275246,63389.555,10244,293200
-45.16325759887695,-40.859276,43039.805,7.705391,0.059345078,12.557641022795478,223.33376,5.9344096,-65.74597930908203,-59.42585,63201.297,10411,298100
-46.58796310424805,-41.56264,50253.227,16.608315,0.20849834,12.764147508049852,172.51279,0.39403856,-58.53899383544922,-52.237885,63011.086,10457,299300
-43.28276062011719,-40.81172,24710.375,6.9028425,0.06932354,85.63184908413773,149.76227,0.4568177,-57.022804260253906,-50.740883,62819.227,10836,311900
-44.54661178588867,-40.806732,37398.8,7.058744,0.046365086,15.865910024079158,119.03563,0.34728122,-54.85096740722656,-48.587566,62634.03,10845,312100
-43.87066650390625,-40.63305,32376.188,4.5234575,0.043217517,25.57106851435895,129.72226,0.30922073,-55.52785110473633,-49.28495,62429.0,10853,312300
-43.553138732910156,-40.593674,29594.648,3.95884,0.04149352,46.60089094755769,57.88237,0.18282886,-50.55910873413086,-44.33819,62209.22,10951,315700
53.180908203125,56.978184,37972.76,0.009902182,0.0008976326,32.82272223995642,84.42684,0.45968032,-52.51933288574219,-46.321728,61976.062,11019,317600
-46.24127960205078,-41.245796,49954.83,13.295286,0.07156573,6.099222169821992,62.780766,0.2859591,-50.9114990234375,-44.73944,61720.586,11285,325700
-42.75004196166992,-40.50889,22411.55,2.663891,0.04569664,4.9934753980292,63.595467,0.18372363,-50.86838150024414,-44.725388,61429.938,11335,327100
55.66411209106445,59.32007,36559.56,0.005558621,0.00058235315,16.74891304765073,51.599014,0.18902051,-50.02750015258789,-43.9172,61103.016,11697,336000
-42.882686614990234,-40.57058,23121.062,3.5514822,0.04810512,15.059749561632783,600.5867,13.499073,-96.1608657836914,-90.072495,60883.688,11842,340300
-52.6474494934082,-48.487595,41598.555,118.60386,0.24271725,11.439140447762124,269.61017,8.873926,-70.62381744384766,-64.54637,60774.43,12041,345400
-43.33567810058594,-40.601067,27346.102,3.6750464,0.08079688,48.66665755883648,198.32562,5.6937222,-63.640403747558594,-57.570747,60696.555,12121,347500
53.65644454956055,57.511936,38554.91,0.014651135,0.00074032636,44.15827459900505,253.75362,5.682642,-67.3739242553711,-61.313934,60599.914,12169,349000
55.1165771484375,59.271915,41553.4,0.018605035,0.0005678657,8.804418198523683,118.692,3.8792562,-57.00275421142578,-50.954323,60484.312,12195,349400
59.66781234741211,63.906,42381.86,0.020671148,0.00024608057,16.954009765285903,82.098465,2.7851968,-53.7733039855957,-47.737793,60355.117,12203,349500
-49.68539047241211,-44.548416,51369.758,48.646187,1.417124,13.693944382441249,82.503876,2.7064357,-53.7327880859375,-47.71193,60208.6,12229,350200
-46.856964111328125,-42.292465,45645.004,28.102125,0.13766104,17.47980400851309,70.75643,1.8683295,-52.352535247802734,-46.349884,60026.516,12605,361200
-52.67062759399414,-47.403816,52668.11,86.40601,1.8608804,5.7469212620959125,58.36643,1.733444,-51.40045928955078,-45.420208,59802.5,12967,372500
60.291343688964844,64.130455,38391.133,0.0025176923,0.0002645489,3.7524226971986425,41.978363,1.2433519,-49.931846618652344,-43.979633,59522.15,12981,372800
59.588043212890625,63.506134,39180.92,0.004336116,0.00033830342,39.42592236513711,28.376945,0.86679727,-48.72440719604492,-42.80445,59199.58,12990,373000
60.869834899902344,64.83153,39616.945,0.002384099,0.00029838452,11.316204805018085,35.957977,0.70588565,-49.08961868286133,-43.208557,58810.633,13009,373400
-45.62150573730469,-41.15599,44655.164,10.079466,0.2604283,89.98290774949224,28.074078,0.61168444,-48.44866943359375,-42.61133,58373.414,13591,389700
58.39640426635742,62.240753,38443.504,0.004028829,0.0003279565,13.271778078326154,67.092865,0.83270705,-51.19846725463867,-45.4012,57972.688,13639,391100
-45.231040954589844,-41.51613,37149.14,16.992771,0.10131423,63.62995182761957,43.03428,0.51042604,-49.31853485107422,-43.55513,57634.047,13798,395300
61.11316680908203,65.47035,43571.836,0.004431492,0.00031753458,11.796461866974232,33.133064,0.53506494,-48.62337112426758,-42.90181,57215.625,13809,395600
-45.74334716796875,-41.431557,43117.914,14.937969,0.18181911,30.127955257340982,30.133394,0.42950016,-48.30332946777344,-42.627396,56759.336,13867,397100
