ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch
-110.51197814941406,-103.08693,74250.51,269.46918,45.992897,-10.829524946899621,551
-104.6987533569336,-97.36703,73317.28,446.597,19.827183,-23.042540886442872,554
-83.2094955444336,-75.96742,72420.766,202.29962,12.632338,-29.466842235705233,557
-88.47810363769531,-81.32286,71552.41,299.5752,10.819106,-21.052302752826467,560
-76.036865234375,-68.96358,70732.89,162.31665,6.2802696,-21.974307354369362,563
-72.66535186767578,-65.67653,69888.21,129.19785,4.7345247,-29.92339124525389,566
-69.62801361083984,-62.72806,68999.51,93.809326,3.9160943,-29.09708295237629,569
-67.0614242553711,-60.253197,68082.24,72.86528,2.3531117,-13.476365593794707,572
-65.0445556640625,-58.332664,67118.92,48.08308,1.9931499,-31.091872706835883,575
-413.401123046875,-406.78625,66148.78,2088.6265,312.88745,0.7105069928376011,578
-153.18206787109375,-146.59143,65906.32,811.0582,56.12544,-0.1063683246455443,581
-117.62989807128906,-111.05749,65724.11,531.44867,31.573927,-1.7970675952949637,584
-100.9688491821289,-94.4117,65571.516,368.69543,23.249918,-11.131752178641499,587
-95.73757934570312,-89.1921,65454.83,400.44443,12.361435,-21.18258405853201,590
-76.473876953125,-69.93888,65349.92,153.21942,8.631311,-18.275416758174824,593
-187.9744415283203,-181.45557,65188.773,1836.8423,5.0696554,-22.04336775961029,596
-66.7258071899414,-60.231663,64941.438,65.44516,3.0633054,-0.4308137973263231,599
-62576054272.0,-62576054000.0,82518.56,45009640.0,2225071.5,-24.69200653094417,602
-1385600000.0,-1385600000.0,81686.086,20880530.0,1212043.0,-1.3468487604301358,605
-119153976.0,-119153970.0,81531.31,23110300.0,808556.56,-23.25333183001762,608
-20772150.0,-20772142.0,81520.88,20836780.0,630335.75,-10.119725749233707,611
-9506680.0,-9506672.0,81521.484,19337840.0,615957.8,-13.715795766265495,614
