ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-73.2951889038086,-66.335,69601.914,177.80457,0.84693575,4.132175812980622,104.4245,1.174262,-68.18338775634766,-61.591034,65923.52,359
-63.7194938659668,-56.919243,68002.5,35.66096,1.1465898,-33.885907762026434,77.14947,0.7805551,-65.93521118164062,-59.478985,64562.28,362
-63.55442810058594,-56.931778,66226.516,40.246643,0.7065478,-12.182885246360788,135.06808,1.2270992,-70.02371215820312,-63.700367,63233.453,365
-64.79132080078125,-58.344826,64464.938,58.477448,0.97168404,4.1541105391365685,198.91805,1.209592,-74.21734619140625,-68.009094,62082.54,368
-63.71113967895508,-57.448742,62623.977,48.34703,0.66048324,-49.4904289932366,142.55788,1.9903593,-70.81314086914062,-64.72366,60894.742,371
-62.465694427490234,-56.403187,60625.094,32.108627,0.73919165,-22.590297686643137,77.21415,32.26186,-86.7655258178711,-80.78601,59795.17,374
-62.96076965332031,-57.107697,58530.727,41.49251,0.8419302,-43.97528989789559,245.7062,10.111757,-83.07772827148438,-77.19902,58787.086,377
-61.98916244506836,-56.365845,56233.188,18.185696,2.0762973,-27.062074761369303,98.82213,1.5071572,-67.21515655517578,-61.4372,57779.57,380
-63.698211669921875,-58.319317,53788.97,59.685036,0.81322896,-50.22982430978706,71.54725,1.9623605,-65.5619125366211,-59.899597,56623.14,383
-60.86039733886719,-55.683685,51767.14,20.704954,0.81627035,-43.13667025001658,90.80386,0.9677067,-66.06604766845703,-60.529587,55364.6,386
-62.28076171875,-57.26918,50115.83,43.616604,0.8681686,-3.517567704794644,61.667526,0.8894131,-63.91810989379883,-58.505016,54130.945,389
-60.901573181152344,-56.04177,48598.008,27.244509,0.69149655,-26.342181415110055,30.930265,1.3142467,-61.98653793334961,-56.712578,52739.6,392
-60.98163604736328,-56.25764,47239.96,28.757156,0.8592465,-31.388419819722905,37.34113,1.1208718,-62.129798889160156,-57.015533,51142.656,395
-60.99236297607422,-56.398945,45934.18,33.01145,0.6426417,-3.1806369516781565,30.03172,1.2041811,-61.52117919921875,-56.577293,49438.86,398
-59.84736251831055,-55.37361,44737.527,17.294674,0.6990696,-15.842382489959737,28.714138,1.046148,-61.196407318115234,-56.381203,48152.04,401
-110.8071060180664,-106.48123,43258.77,181.07114,59.84883,5.803150066204462,240.59917,1.0000011,-75.40599822998047,-70.68773,47182.727,404
-68.69312286376953,-64.41876,42743.6,98.18004,5.9775496,-22.086937518835253,131.4923,22.086914,-82.23086547851562,-77.573746,46571.203,407
-61.40568542480469,-57.15554,42501.438,36.3781,1.4240878,-28.088039523110766,66.989075,3.3283193,-65.14691162109375,-60.51547,46314.445,410
-62.60312271118164,-58.377518,42256.04,59.15683,0.95206106,-16.57480079745102,46.43049,1.1347094,-62.25919723510742,-57.639954,46192.42,413
-60.07296371459961,-55.876297,41966.66,22.5472,0.9166914,-20.77940985632235,39.69252,1.0578046,-61.73128890991211,-57.131966,45993.227,416
-60.4865837097168,-56.323574,41630.113,30.01458,0.8309476,-29.050429681876036,30.720715,1.4456176,-61.36441421508789,-56.787292,45771.22,419
-61.4322395324707,-57.304176,41280.617,43.262848,0.95525706,-30.88310071256523,33.83263,0.82152784,-61.12101364135742,-56.57556,45454.508,422
-59.819576263427734,-55.731194,40883.812,22.751038,0.68186504,-11.025116255696913,32.344738,0.8526868,-61.011322021484375,-56.495964,45153.58,425
-59.989471435546875,-55.95448,40349.918,24.666227,0.8203268,-5.8034967012305785,22.580486,2.741621,-61.60503387451172,-57.11344,44915.914,428
-59.457725524902344,-55.480324,39774.016,18.580362,0.7281979,-10.444950504788224,21.818012,0.96172094,-60.31116485595703,-55.85743,44537.375,431
-59.28327941894531,-55.374363,39089.15,15.797436,0.8499055,-43.15592760297858,20.373709,1.088837,-60.255470275878906,-55.84571,44097.586,434
-60.7733268737793,-56.951035,38222.92,39.338478,0.8166461,-1.217425177271753,22.56007,1.5231841,-60.642276763916016,-56.28757,43547.043,437
-59.209434509277344,-55.4822,37272.355,17.442387,0.8447709,-15.415210807815543,23.98106,0.95575607,-60.287559509277344,-55.99976,42878.0,440
-58.75012969970703,-55.136017,36141.15,11.84222,0.893191,-18.732420967617582,33.53511,0.9249288,-60.851341247558594,-56.625397,42259.453,443
-58.76935958862305,-55.2819,34874.617,15.26468,0.76653725,-25.971401844704083,19.976875,1.5492628,-60.271183013916016,-56.13042,41407.61,446
-58.55648422241211,-55.202705,33537.8,12.162174,0.9597595,-8.364398001726439,20.300858,1.4827346,-60.14370346069336,-56.107323,40363.816,449
-58.190059661865234,-54.972553,32175.078,11.744758,0.6613736,-11.588526661732324,26.083454,1.867363,-60.68332290649414,-56.75889,39244.332,452
-79.63664245605469,-76.534225,31024.16,329.90192,0.7097411,-9.326655857260514,13.51316,0.6225764,-58.91176223754883,-55.06597,38457.918,455
-59.215755462646484,-56.14807,30676.828,28.594938,0.7135501,-7.109572168788905,17.90859,0.83113694,-59.26938247680664,-55.504524,37648.594,458
-68.0186538696289,-64.9726,30460.484,159.09912,0.70412266,-24.135792379069198,21.180555,0.8569519,-59.40668869018555,-55.7434,36632.875,461
-61.01958084106445,-57.998215,30213.66,54.894257,0.8177767,-16.597223745181267,13.961861,1.0534413,-58.95305633544922,-55.387886,35651.688,464
-58.74560546875,-55.745197,30004.086,21.53408,0.82425946,-39.472840822926145,412.81064,1.2060535,-85.98341369628906,-82.48031,35031.086,467
-59.20399856567383,-56.22806,29759.383,27.824427,0.9088095,-34.78410315576409,176.00671,1.7341671,-70.25550079345703,-66.81371,34417.914,470
-58.98405075073242,-56.030296,29537.562,24.458712,0.9531214,-17.681648728452387,46.22519,2.2648733,-61.80851745605469,-58.390816,34177.03,473
-58.77180099487305,-55.842293,29295.086,23.874884,0.7336636,-20.563939138278528,30.97814,1.2173014,-60.039154052734375,-56.650215,33889.375,476
-58.636539459228516,-55.73571,29008.29,21.828005,0.7808475,-25.968120670313038,50.04146,1.0406442,-61.1971435546875,-57.82065,33764.96,479
-58.091453552246094,-55.226154,28653.008,15.575918,0.65303266,-5.740903018819523,63.061962,1.1442792,-62.13178634643555,-58.77184,33599.47,482
-58.52642822265625,-55.693054,28333.727,21.2075,0.7798599,-2.021464579172488,54.90429,0.86913395,-61.37272644042969,-58.03365,33390.754,485
-59.15865707397461,-56.349503,28091.555,26.65644,1.2050743,-16.982640019418973,18.476683,0.67203534,-58.742645263671875,-55.435303,33073.43,488
-58.73423767089844,-55.94841,27858.262,24.117838,0.8661997,-12.980502943689725,21.297972,1.1774554,-59.23360061645508,-55.96822,32653.82,491
-57.780189514160156,-55.02134,27588.512,11.352329,0.77270776,-8.466297947903547,26.054798,1.3291142,-59.625511169433594,-56.39273,32327.805,494
-57.971858978271484,-55.244656,27272.047,14.588371,0.7791257,2.509962158571026,19.27552,0.6603166,-58.678775787353516,-55.48143,31973.445,497
-57.957576751708984,-55.269806,26877.719,16.353596,0.63977516,-13.931927323885352,381.91196,0.6113148,-83.17145538330078,-79.98703,31844.254,500
-60.299766540527344,-57.666355,26334.098,27.923018,0.54752886,-31.12347789734993,88.92613,0.879972,-63.537200927734375,-60.343155,31940.469,503
-57.554290771484375,-54.98643,25678.598,12.641292,0.59222466,-28.285384274801235,42.11721,1.374441,-60.6904411315918,-57.510303,31801.39,506
-57.38019561767578,-54.871105,25090.918,11.293717,0.556553,-22.34481174217675,40.783222,0.44618616,-59.958824157714844,-56.79191,31669.164,509
-57.23418045043945,-54.785797,24483.844,10.773502,0.482513,-13.604406271794828,28.760588,0.9236611,-59.44692611694336,-56.30146,31454.672,512
