ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-63.218379974365234,-56.561634,66567.45,31.865238,0.99768615,-11.046751328025865,59.252403,0.7093127,-65.35871124267578,-58.219727,71389.86,296,29700
-61.971168518066406,-55.354874,66162.93,18.699434,0.5309017,-12.95767329802078,234.58159,0.51852477,-76.98515319824219,-69.95474,70304.08,299,30000
-79.54841613769531,-72.51807,70303.5,271.21277,0.64352024,-13.104354158078324,435.98923,27.695316,-108.95265197753906,-101.97341,69792.43,302,30300
-77.94767761230469,-71.855125,60925.562,264.55542,0.32955438,-24.44956216976166,199.92511,22.733442,-89.5849380493164,-82.64192,69430.13,305,30600
-67.33599090576172,-61.39422,59417.71,109.24404,0.40144646,-24.731436754089145,297.96112,11.836241,-88.81024932861328,-81.90191,69083.42,308,30900
-62.0068359375,-56.12549,58813.46,31.464231,0.3932441,-12.765095851869182,105.4099,5.5708084,-71.5071792602539,-64.63275,68744.25,311,31200
-61.9577522277832,-56.119865,58378.86,31.743052,0.35704684,-8.170678032248924,79.80892,2.632402,-67.75599670410156,-60.912045,68439.52,314,31500
-61.63726806640625,-55.840927,57963.406,27.979847,0.32115173,-27.598745055569534,1004.28204,1.9288099,-129.80429077148438,-122.99286,68114.375,317,31800
-60.52333068847656,-54.767467,57558.617,12.18189,0.3145743,-31.023768813718657,255.53738,0.94642985,-78.43795776367188,-71.662315,67756.41,320,32100
-60.213932037353516,-54.506397,57075.344,8.438623,0.30309442,-28.656744422965694,887.26,0.9794711,-121.17872619628906,-114.431854,67468.69,323,32400
-68.04327392578125,-62.40203,56412.453,125.732056,0.24199903,-22.28659710749603,153.85356,0.82673377,-71.40924072265625,-64.70062,67086.2,326,32700
-60.04704666137695,-54.4674,55796.484,8.399115,0.24941014,-19.037530254387,69.7264,0.6112766,-65.53633880615234,-58.862137,66741.99,329,33000
-59.774513244628906,-54.277706,54968.086,5.996407,0.20935407,-24.737582325295758,86.736465,0.7524072,-66.7425308227539,-60.10866,66338.695,332,33300
-59.61847686767578,-54.22286,53956.203,5.44302,0.18363824,-31.881299643328923,32.570183,0.7161125,-63.00251770019531,-56.418804,65837.12,335,33600
-59.43978500366211,-54.168358,52714.29,4.7599716,0.17139581,-34.39674615861523,23.6275,0.60700524,-62.26280975341797,-55.73984,65229.703,338,33900
-63.814491271972656,-58.668186,51463.055,71.24104,0.17318617,1.7168721688038027,13.322899,0.33356082,-61.311737060546875,-54.857517,64542.203,341,34200
-62.29326629638672,-57.19922,50940.484,40.556877,1.0707524,-29.33785577930261,48.653603,0.39066854,-63.649208068847656,-57.28691,63622.97,344,34500
-60.04618835449219,-55.00997,50362.18,15.337787,0.3573692,-17.643932608145843,13.265104,0.29330897,-61.07474899291992,-54.82637,62483.805,347,34800
-59.48995590209961,-54.517143,49728.117,7.337708,0.42906955,-3.1548173046293133,229.3876,0.5758496,-75.79812622070312,-69.64206,61560.703,350,35100
-59.43574905395508,-54.539738,48960.1,10.397641,0.15646592,-8.618433265239672,61.592133,0.3807634,-64.23501586914062,-58.155724,60792.89,353,35400
